"population","g_date","total_waste","dry_waste","wet_waste","geom_id","weight"
4887.12,"2020-09-20",1629.48,333.13,1422.88,1,0.21
5531.27,"2020-09-20",1415.26,154.29,1829.11,2,0.30
9306.92,"2020-09-20",1794.45,282.71,902.25,3,0.29
1782.63,"2020-09-20",2245.14,52.65,1189.51,4,0.23
1305.56,"2020-09-20",1565.11,427.68,940.67,5,0.26
7216.09,"2020-09-20",679.43,444.67,849.28,6,0.30
8556.60,"2020-09-20",218.80,493.22,2055.07,7,0.25
2235.09,"2020-09-20",1769.49,319.83,215.57,8,0.25
6569.09,"2020-09-20",1264.49,381.64,269.34,9,0.29
8757.23,"2020-09-20",1217.87,540.73,115.15,10,0.25
1930.79,"2020-09-20",2255.10,498.47,1302.72,11,0.22
578.66,"2020-09-20",194.38,284.43,43.42,12,0.22
1042.94,"2020-09-20",1391.73,14.35,592.46,13,0.26
503.02,"2020-09-21",1049.79,574.43,906.99,1,0.25
1078.06,"2020-09-21",2000.39,94.58,244.35,2,0.27
5611.93,"2020-09-21",1627.03,514.27,383.89,3,0.27
7847.19,"2020-09-21",1623.75,257.03,2077.72,4,0.22
4343.12,"2020-09-21",2513.55,453.99,2004.63,5,0.21
4874.56,"2020-09-21",1341.57,73.80,1672.44,6,0.22
2229.59,"2020-09-21",219.29,236.96,1720.10,7,0.23
1595.83,"2020-09-21",2732.75,65.90,421.51,8,0.24
6634.83,"2020-09-21",1536.62,415.56,1142.18,9,0.27
1226.66,"2020-09-21",2429.42,171.84,114.28,10,0.24
4855.32,"2020-09-21",2088.18,18.06,1445.27,11,0.22
1731.45,"2020-09-21",556.56,68.19,281.34,12,0.27
3735.06,"2020-09-21",893.21,73.50,1222.87,13,0.25
5868.17,"2020-09-22",1567.93,238.45,1357.76,1,0.27
8839.96,"2020-09-22",1584.76,217.15,1158.55,2,0.24
1417.99,"2020-09-22",2462.11,291.61,1375.75,3,0.26
6762.51,"2020-09-22",371.35,142.96,354.95,4,0.28
5964.90,"2020-09-22",799.40,204.93,1528.69,5,0.29
2788.01,"2020-09-22",1741.50,218.15,750.42,6,0.28
1132.43,"2020-09-22",651.11,73.61,1707.46,7,0.23
5493.25,"2020-09-22",2700.04,348.89,1511.85,8,0.29
3215.14,"2020-09-22",161.14,217.57,486.69,9,0.24
3546.30,"2020-09-22",486.66,249.30,1815.13,10,0.29
2998.90,"2020-09-22",2363.45,208.83,287.84,11,0.26
6721.05,"2020-09-22",467.73,680.87,1978.64,12,0.26
9101.61,"2020-09-22",1023.54,398.87,915.86,13,0.27
966.82,"2020-09-23",2182.99,74.12,1948.94,1,0.28
1841.57,"2020-09-23",1939.27,475.61,1904.92,2,0.26
2695.08,"2020-09-23",854.13,635.76,242.29,3,0.25
9019.49,"2020-09-23",1388.23,660.29,127.25,4,0.25
7136.42,"2020-09-23",2407.25,224.54,1222.09,5,0.27
3233.83,"2020-09-23",1639.64,568.47,1235.81,6,0.23
1995.46,"2020-09-23",1576.51,302.82,1261.94,7,0.24
466.81,"2020-09-23",1572.55,310.75,103.81,8,0.29
301.46,"2020-09-23",786.44,389.51,1081.80,9,0.27
8360.03,"2020-09-23",1422.90,591.77,1493.88,10,0.29
1437.11,"2020-09-23",115.30,418.78,415.03,11,0.26
7410.10,"2020-09-23",616.60,664.50,91.43,12,0.24
5614.04,"2020-09-23",2565.15,15.70,1548.32,13,0.26
3182.26,"2020-09-24",2449.90,607.64,365.67,1,0.26
229.88,"2020-09-24",2547.30,492.76,1431.42,2,0.24
683.05,"2020-09-24",1652.40,599.33,29.67,3,0.28
6652.08,"2020-09-24",182.06,271.08,1391.55,4,0.28
2650.69,"2020-09-24",2359.69,151.57,1607.87,5,0.28
9996.72,"2020-09-24",812.50,198.93,1875.48,6,0.21
5974.77,"2020-09-24",642.96,642.04,774.92,7,0.26
4639.30,"2020-09-24",2539.53,588.95,1320.37,8,0.26
3974.25,"2020-09-24",2325.49,484.17,876.25,9,0.27
8599.50,"2020-09-24",2024.13,546.32,1119.72,10,0.22
3031.32,"2020-09-24",1750.19,369.03,369.28,11,0.25
7790.22,"2020-09-24",882.05,120.05,1919.11,12,0.24
272.94,"2020-09-24",669.78,244.22,1263.10,13,0.22
5684.99,"2020-09-25",1074.12,81.81,726.15,1,0.22
4328.58,"2020-09-25",2584.22,507.81,1570.02,2,0.26
5262.01,"2020-09-25",2350.60,567.86,1327.49,3,0.25
3290.01,"2020-09-25",682.37,42.56,952.34,4,0.23
991.68,"2020-09-25",1676.20,699.39,445.01,5,0.26
9153.81,"2020-09-25",928.14,475.17,763.16,6,0.23
8000.22,"2020-09-25",413.37,559.40,1672.32,7,0.29
1806.99,"2020-09-25",35.07,531.18,1420.54,8,0.22
6705.62,"2020-09-25",836.88,534.79,986.70,9,0.25
1016.91,"2020-09-25",2668.29,100.70,326.55,10,0.28
9163.16,"2020-09-25",2219.08,476.95,527.50,11,0.28
8566.48,"2020-09-25",2.81,216.02,932.67,12,0.23
5382.51,"2020-09-25",1477.12,401.11,581.03,13,0.23
7142.42,"2020-09-26",2183.80,385.25,785.12,1,0.27
6803.39,"2020-09-26",1976.76,459.04,1747.10,2,0.27
9984.29,"2020-09-26",460.83,433.47,402.59,3,0.21
9430.26,"2020-09-26",2791.87,684.94,619.05,4,0.22
8791.35,"2020-09-26",595.40,552.69,363.75,5,0.21
731.83,"2020-09-26",104.80,410.31,1692.16,6,0.25
8875.94,"2020-09-26",800.45,282.69,16.08,7,0.22
5046.69,"2020-09-26",1595.73,500.30,763.74,8,0.25
8930.93,"2020-09-26",21.13,255.22,1011.05,9,0.22
8804.77,"2020-09-26",2447.81,674.69,1154.65,10,0.21
4512.89,"2020-09-26",2055.08,110.10,1987.92,11,0.27
7408.97,"2020-09-26",2344.58,404.36,5.28,12,0.23
8696.90,"2020-09-26",2360.23,215.20,555.34,13,0.24
7728.11,"2020-09-27",1139.80,635.58,480.32,1,0.26
7274.97,"2020-09-27",411.97,267.89,1841.11,2,0.24
8303.22,"2020-09-27",548.57,388.08,1440.50,3,0.26
8840.67,"2020-09-27",690.57,476.27,1796.83,4,0.23
2492.25,"2020-09-27",1069.66,667.22,1059.73,5,0.28
7221.38,"2020-09-27",2554.13,659.59,1835.43,6,0.22
7155.21,"2020-09-27",2221.68,577.07,840.66,7,0.30
5371.97,"2020-09-27",132.80,529.25,1818.91,8,0.29
2019.27,"2020-09-27",824.40,455.94,1404.93,9,0.28
9338.13,"2020-09-27",575.79,16.79,1822.16,10,0.26
376.37,"2020-09-27",2388.81,534.97,580.56,11,0.22
6623.43,"2020-09-27",1757.55,180.58,666.98,12,0.26
6960.77,"2020-09-27",58.44,17.54,2064.33,13,0.21
9842.16,"2020-09-28",1283.27,401.31,881.51,1,0.24
7277.87,"2020-09-28",1150.68,560.52,680.52,2,0.25
9487.94,"2020-09-28",1190.83,487.42,2041.28,3,0.28
6925.05,"2020-09-28",544.31,111.57,2066.07,4,0.22
1569.45,"2020-09-28",2062.24,653.82,1388.73,5,0.24
7640.63,"2020-09-28",2068.41,378.20,1831.90,6,0.22
6401.99,"2020-09-28",1347.37,459.82,1448.08,7,0.28
6988.84,"2020-09-28",151.66,596.60,878.57,8,0.27
5514.77,"2020-09-28",2589.48,527.60,1013.26,9,0.26
1878.64,"2020-09-28",869.44,345.72,260.43,10,0.29
8343.12,"2020-09-28",1378.69,281.62,2062.05,11,0.24
8069.49,"2020-09-28",395.30,207.62,1555.99,12,0.28
5425.49,"2020-09-28",311.63,97.01,1753.13,13,0.29
9020.67,"2020-09-29",910.09,254.57,1728.76,1,0.28
7527.96,"2020-09-29",590.70,551.68,1255.02,2,0.25
8662.79,"2020-09-29",1875.98,291.82,1106.31,3,0.28
2912.16,"2020-09-29",2718.88,261.49,444.88,4,0.23
6291.15,"2020-09-29",1590.87,682.74,1992.11,5,0.24
2275.99,"2020-09-29",138.25,661.24,2018.90,6,0.24
310.16,"2020-09-29",2066.60,208.62,104.68,7,0.30
8787.55,"2020-09-29",1715.73,605.93,126.85,8,0.27
